cluster,gene,rank,score,method,direction
clusterFour,IFT88,307,0.09861127745244248,rawMAE,min
clusterFour,ASCC1,308,0.09873271374110025,rawMAE,min
clusterFour,TM2D2,309,0.098751744858511,rawMAE,min
clusterFour,DOK1,310,0.09880463805042587,rawMAE,min
clusterFour,C11orf54,311,0.09891287072040775,rawMAE,min
clusterFour,HRH2,312,0.09892716418363075,rawMAE,min
clusterFour,CEP97,313,0.09895133785270725,rawMAE,min
clusterFour,ST3GAL2,314,0.09895289458297475,rawMAE,min
clusterFour,HDAC5,315,0.0989968089026685,rawMAE,min
clusterFour,RBM45,316,0.09906620510628873,rawMAE,min
clusterFour,OBSCN,317,0.099094689168974,rawMAE,min
clusterFour,HIST1H2AH,318,0.09912281913276799,rawMAE,min
clusterFour,LRSAM1,319,0.09914007490165348,rawMAE,min
clusterFour,SGPP1,320,0.09922365485210474,rawMAE,min
clusterFour,MED11,321,0.09923173279688025,rawMAE,min
clusterFour,LINC01588,322,0.09929505953469525,rawMAE,min
clusterFour,PHLDB3,323,0.09931414577528198,rawMAE,min
clusterFour,ZNF550,324,0.09931927107984849,rawMAE,min
clusterFour,POU2F2,325,0.09939837448043351,rawMAE,min
clusterFour,MTX3,326,0.09960388900278198,rawMAE,min
clusterFour,SLC35A2,327,0.09960493295378099,rawMAE,min
clusterFour,CCDC102B,328,0.09966067020679274,rawMAE,min
clusterFour,PCNA,329,0.09966407915281575,rawMAE,min
clusterFour,HCFC1R1,330,0.09970320421220713,rawMAE,min
clusterFour,ACADM,331,0.09975115655294725,rawMAE,min
clusterFour,ATAD3B,332,0.09978602614611225,rawMAE,min
clusterFour,GSTM2,333,0.09990152097958324,rawMAE,min
clusterFour,ORAI2,334,0.09991495803825376,rawMAE,min
clusterFour,CCDC126,335,0.10005516633407975,rawMAE,min
clusterFour,RAB33B,336,0.10025765027587737,rawMAE,min
clusterFour,CCDC85C,337,0.10031686440606233,rawMAE,min
clusterFour,ZNF431,338,0.10046840821891849,rawMAE,min
clusterFour,G6PC3,339,0.10049746443328789,rawMAE,min
clusterFour,RFLNB,340,0.100511132209451,rawMAE,min
clusterFour,MRPL48,341,0.10057652078330624,rawMAE,min
clusterFour,AC097534.2,342,0.1005804206259165,rawMAE,min
clusterFour,AC093484.3,343,0.10059279067363398,rawMAE,min
clusterFour,ZSCAN26,344,0.100600916135429,rawMAE,min
clusterFour,RCHY1,345,0.1006492616257315,rawMAE,min
clusterFour,TBC1D31,346,0.10071721465486123,rawMAE,min
clusterFour,ENO2,347,0.10083582875028475,rawMAE,min
clusterFour,TPCN1,348,0.1008729736676665,rawMAE,min
clusterFour,GNS,349,0.10087386000691462,rawMAE,min
clusterFour,GPR155,350,0.10087689452117964,rawMAE,min
clusterFour,TNFAIP8L2,351,0.10088331011824424,rawMAE,min
clusterFour,TSC1,352,0.10097296346845086,rawMAE,min
clusterFour,ETFRF1,353,0.10107407800288,rawMAE,min
clusterFour,UBALD1,354,0.10112426715013674,rawMAE,min
clusterFour,PRR14L,355,0.10113535602779149,rawMAE,min
clusterFour,CYSLTR1,356,0.10121882361630799,rawMAE,min
clusterFour,OSBPL11,357,0.1012383871657255,rawMAE,min
clusterFour,ZNF124,358,0.10123920312811924,rawMAE,min
clusterFour,TRIM62,359,0.10126916940474824,rawMAE,min
clusterFour,PYGB,360,0.10138855370203824,rawMAE,min
clusterFour,USP21,361,0.10138890559171562,rawMAE,min
clusterFour,LANCL1,362,0.10141202011794774,rawMAE,min
clusterFour,MBNL3,363,0.10144997032218324,rawMAE,min
clusterFour,TRIM13,364,0.10152890177703024,rawMAE,min
clusterFour,ZNF395,365,0.10156806874766874,rawMAE,min
clusterFour,NOD1,366,0.10156835836888499,rawMAE,min
clusterFour,ACTL6A,367,0.10159022559372037,rawMAE,min
clusterFour,STXBP4,368,0.10161227092353024,rawMAE,min
clusterFour,STAT2,369,0.10181012118016425,rawMAE,min
clusterFour,RBM12,370,0.10182901045340899,rawMAE,min
clusterFour,BCKDHA,371,0.10186568745108461,rawMAE,min
clusterFour,PKP4,372,0.10190963334880325,rawMAE,min
clusterFour,SLC35A3,373,0.10192270188007074,rawMAE,min
clusterFour,FCER1G,374,0.10193831790645123,rawMAE,min
clusterFour,ABRAXAS2,375,0.10194009237331823,rawMAE,min
clusterFour,SLC25A22,376,0.1019663658629805,rawMAE,min
clusterFour,ID3,377,0.10213218629991949,rawMAE,min
clusterFour,AL035701.1,378,0.10213810992434073,rawMAE,min
clusterFour,TMEM117,379,0.10214333567935374,rawMAE,min
clusterFour,FUNDC1,380,0.10226272329587599,rawMAE,min
clusterFour,SAP130,381,0.10234751286177975,rawMAE,min
clusterFour,PHKB,382,0.10242329163583215,rawMAE,min
clusterFour,GPR68,383,0.1024301324761925,rawMAE,min
clusterFour,CRIM1,384,0.102498868920233,rawMAE,min
clusterFour,CLN5,385,0.102522792050519,rawMAE,min
clusterFour,C1RL,386,0.10255938166013374,rawMAE,min
clusterFour,TMED1,387,0.10256443825333124,rawMAE,min
clusterFour,ANKS6,388,0.10259667671587575,rawMAE,min
clusterFour,KLHDC3,389,0.10264532310083,rawMAE,min
clusterFour,ACTR8,390,0.10276701894679363,rawMAE,min
clusterFour,ZFYVE21,391,0.10283395830230324,rawMAE,min
clusterFour,OAS1,392,0.10283872239008887,rawMAE,min
clusterFour,ASMTL,393,0.102894091875575,rawMAE,min
clusterFour,MEMO1,394,0.10292611923121449,rawMAE,min
clusterFour,MORC2,395,0.10293379521853199,rawMAE,min
clusterFour,ZNF880,396,0.1029382801404635,rawMAE,min
clusterFour,AL390728.6,397,0.10295356849193751,rawMAE,min
clusterFour,MORC4,398,0.1029806717444645,rawMAE,min
clusterFour,ACSS2,399,0.10298272946154424,rawMAE,min
clusterFour,ANKFY1,400,0.10298759812691274,rawMAE,min
clusterFour,RBM48,401,0.10303670967519601,rawMAE,min
clusterFour,AL136962.1,402,0.10309070374254749,rawMAE,min
clusterFour,AL354920.1,403,0.10319181666054925,rawMAE,min
clusterFour,TRIB2,404,0.103226411973163,rawMAE,min
clusterFour,TTC7A,405,0.10325288462664099,rawMAE,min
clusterFour,CHEK2,406,0.10327432790900899,rawMAE,min
clusterFour,AL451165.2,407,0.10330704418094173,rawMAE,min
clusterFour,XKR6,408,0.10353432302810824,rawMAE,min
clusterFour,GPC2,409,0.1035695311737435,rawMAE,min
clusterFour,ARC,410,0.10358125750177574,rawMAE,min
clusterFour,AC234582.1,411,0.1036198243441035,rawMAE,min
clusterFour,SLC39A10,412,0.10364918031432549,rawMAE,min
clusterFour,BLVRA,413,0.1036690544284275,rawMAE,min
clusterFour,PSMD14,414,0.1037397057934685,rawMAE,min
clusterFour,PDZD11,415,0.10375596426348849,rawMAE,min
